"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane (C2H2Cl4)"
2-Methylnaphthalene,"2-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)"
2-Methylphenanthrene,"2-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)"
2-Methylphenol,2-Methylphenol (C7H8O)
2-Nitroaniline,2-Nitroaniline (C6H6N2O2)
2-Nitrophenol,2-Nitrophenol (C6H5NO3)
"3,6-Dimethylphenanthrene","3,6-Dimethylphenanthrene (C16H14), a polycyclic aromatic hydrocarbon (PAH)"
3-Nitroaniline,3-Nitroaniline (C6H6N2O2)
"4,4-DDD",Dichlorodiphenyldichloroethane (C14H10Cl4)
"4,4-DDE",Dichlorodiphenyldichloroethylene (C14H8Cl4)
"4,4-DDT",Dichlorodiphenyltrichloroethane (C14H9Cl5)
"4,6-Dinitro-2-methylphenol","4,6-Dinitro-2-methylphenol (C7H6N2O5)"
4-Bromophenylphenyl ether,4-Bromophenylphenyl ether (C12H9BrO)
4-Chloroaniline,4-Chloroaniline (C6H6ClN)
4-Chlorophenylphenyl ether,4-Chlorophenylphenyl ether (C12H9ClO)
4-Methylchrysene,"4-Methylchrysene (C19H14), a polycyclic aromatic hydrocarbon (PAH)"
4-Methyldibenzothiophene,"4-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)"
4-Nitroaniline,4-Nitroaniline (C6H6N2O2)
4-Nitrophenol,4-Nitrophenol (C6H5NO3)
9 cis-Neoxanthin,The phytoplankton pigment  9 cis-Neoxanthin
"9,10-Dimethylanthracene","9,10-Dimethylanthracene (C16H14), a polycyclic aromatic hydrocarbon (PAH)"
Abundance,"The relative representation of a species in a particular ecosystem. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
Acenaphthene,Acenaphthene (C12H10)
Acenaphthylene,"Acenaphthylene (C12H8), a polycyclic aromatic hydrocarbon (PAH)"
Acetic Acid,Acetic Acid (C2H4O2)
Acetone,Acetone (C3H6O)
Acetophenone,Acetophenone (C6H5C(O)CH3)
Acid neutralizing capacity,Acid neutralizing capacity
"Acidity, CO2 acidity",CO2 acidity
"Acidity, hot",Hot Acidity
"Acidity, mineral acidity",Mineral Acidity
"Acidity, total acidity",Total acidity
Adamantane,Adamantane (C10H16)
Agency code,Code for the agency which analyzed the sample
Albedo,The ratio of reflected to incident light.
Aldrin,Aldrin (C12H8Cl6)
"Alkalinity, bicarbonate",Bicarbonate Alkalinity
"Alkalinity, carbonate",Carbonate Alkalinity
"Alkalinity, carbonate plus bicarbonate","Alkalinity, carbonate plus bicarbonate"
"Alkalinity, hydroxide",Hydroxide Alkalinity
"Alkalinity, total",Total Alkalinity
Alloxanthin,The phytoplankton pigment Alloxanthin
"Aluminum, dissolved",Dissolved Aluminum (Al)
"Aluminum, particulate",Particulate aluminum in suspension
"Aluminum, total",Aluminum (Al). Total indicates was measured on a whole water sample.
Ammonium flux,Ammonium (NH4) flux
Aniline,Aniline (C6H7N)
Anthracene,"Anthracene (C14H10), a polycyclic aromatic hydrocarbon (PAH)"
"Antimony, dissolved","Dissolved antimony (Sb).""Dissolved"" indicates measurement was on a filtered sample."
"Antimony, distribution coefficient",Ratio of concentrations of antimony in two phases in equilibrium with each other. Phases must be specified.
"Antimony, particulate",Particulate antimony (Sb) in suspension
"Antimony, total","Total antimony (Sb). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Area,Area of a measurement location
Argon,Argon
"Argon, dissolved",Dissolved Argon
Aroclor-1016,"Aroclor-1016 (C24H13Cl7), a PCB mixture"
Aroclor-1242,"Aroclor-1242 (C12H6Cl4), a PCB mixture"
Aroclor-1254,"Aroclor-1254 (C12H5Cl5), a PCB mixture"
Aroclor-1260,"Aroclor-1260 (C12H3Cl7), a PCB mixture"
"Arsenic, dissolved","Dissolved Arsenic. For chemical terms, dissolved represents a filtered sample."
"Arsenic, distribution coefficient",Ratio of concentrations of arsenic in two phases in equilibrium with each other. Phases must be specified.
"Arsenic, particulate",Particulate arsenic (As) in suspension
"Arsenic, total",Total arsenic (As). Total indicates was measured on a whole water sample.
Asteridae coverage,Areal coverage of the plant Asteridae
"Barium, dissolved",Dissolved Barium (Ba)
"Barium, distribution coefficient",Ratio of concentrations of barium in two phases in equilibrium with each other. Phases must be specified
"Barium, particulate",Particulate barium (Ba) in suspension
"Barium, total","Total Barium (Ba). For chemical terms, ""total"" indicates an unfiltered sample."
Barometric pressure,Barometric pressure
Baseflow,The portion of streamflow (discharge) that is supplied by groundwater sources.
Batis maritima Coverage,Areal coverage of the plant Batis maritima
Battery temperature,The battery temperature of a datalogger or sensing system
Battery voltage,"The battery voltage of a datalogger or sensing system, often recorded as an indicator of data reliability"
Benthos,Benthic species
Benz[a]anthracene,"Benz[a]anthracene (C18H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzene,Benzene (C6H6)
"Benzo(g,h,i)perylene","Benzo(g,h,i)perylene (C22H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo(k)fluoranthene,"Benzo(k)fluoranthene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo[a]pyrene,"Benzo[a]pyrene (C20H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzo[b]fluorene,"Benzo[b]fluorene (C17H12), a polycyclic aromatic hydrocarbon (PAH)"
Benzoic acid,Benzoic acid (C7H6O2)
"Beryllium, dissolved","Dissolved Beryllium (Be) . For chemical terms, ""dissolved""indicates a filtered sample."
"Beryllium, total","Total Beryllium (Be). For chemical terms, ""total"" indicates an unfiltered sample."
Bicarbonate,Bicarbonate (HCO3-)
Biogenic silica,Hydrated silica (SiO2 nH20)
Biomass,"Mass of living biological organisms in a given area or ecosystem at a given time. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field."
"Biomass, phytoplankton","Total mass of phytoplankton, per unit area or volume"
"Biomass, total",Total biomass
Biphenyl,"Biphenyl ((C6H5)2), a polycyclic aromatic hydrocarbon (PAH), also known as diphenyl or phenylbenzene or 1,1'-biphenyl or lemonene"
bis(2-Chloroethyl)ether,bis(2-Chloroethyl)ether (C4H8Cl2O)
Bis-(2-ethylhexyl) phthalate,Bis-(2-ethylhexyl) phthalate (C6H4(C8H17COO)2)
bis-2-chloroisopropyl ether,bis-2-chloroisopropyl ether (C6H12Cl2O)
"Blue-green algae (cyanobacteria), phycocyanin",Blue-green algae (cyanobacteria) with phycocyanin pigments
BOD1,1-day Biochemical Oxygen Demand
"BOD2, carbonaceous",2-day Carbonaceous Biochemical Oxygen Demand
BOD20,20-day Biochemical Oxygen Demand
"BOD20, carbonaceous",20-day Carbonaceous Biochemical Oxygen Demand
"BOD20, nitrogenous",20-day Nitrogenous Biochemical Oxygen Demand
"BOD3, carbonaceous",3-day Carbonaceous Biochemical Oxygen Demand
"BOD4, carbonaceous",4-day Carbonaceous Biological Oxygen Demand
BOD5,5-day Biochemical Oxygen Demand
"BOD5, carbonaceous",5-day Carbonaceous Biochemical Oxygen Demand
"BOD5, nitrogenous",5-day Nitrogenous Biochemical Oxygen Demand
"BOD6, carbonaceous",6-day Carbonaceous Biological Oxygen Demand
"BOD7, carbonaceous",7-day Carbonaceous Biochemical Oxygen Demand
BODu,Ultimate Biochemical Oxygen Demand
"BODu, carbonaceous",Carbonaceous Ultimate Biochemical Oxygen Demand
"BODu, nitrogenous",Nitrogenous Ultimate Biochemical Oxygen Demand
Body length,Length of the body of an organism
Borehole log material classification,Classification of material encountered by a driller at various depths during the drilling of a well and recorded in the borehole log.
"Boron, dissolved",dissolved boron
"Boron, total",Total Boron (B)
Borrichia frutescens Coverage,Areal coverage of the plant Borrichia frutescens
"Bromide, dissolved",Dissolved Bromide (Br-)
"Bromide, total",Total Bromide (Br-)
Bromine,Bromine (Br2)
"Bromine, dissolved",Dissolved Bromine (Br2)
Bromodichloromethane,Bromodichloromethane (CHBrCl2)
Bromoform,"Bromoform (CHBr3), a haloform"
Bromomethane (Methyl bromide),Bromomethane (Methyl bromide) (CH3Br)
Bulk electrical conductivity,"Bulk electrical conductivity of a medium measured using a sensor such as time domain reflectometry (TDR), as a raw sensor response in the measurement of a quantity like soil moisture."
Butane,Butane
Butylbenzylphthalate,Butylbenzylphthalate (C19H20O4)
Butyric Acid,Butyric Acid (C4H8O2)
"Cadmium, dissolved","Dissolved Cadmium. For chemical terms, ""dissolved"" indicates a filtered sample."
"Cadmium, distribution coefficient",Ratio of concentrations of cadmium in two phases in equilibrium with each other. Phases must be specified.
"Cadmium, particulate",Particulate cadmium (Cd) in suspension
"Cadmium, total","Total Cadmium (Cd). For chemical terms, ""total"" indciates an unfiltered sample."
"Calcium, dissolved",Dissolved Calcium (Ca)
"Calcium, total",Total Calcium (Ca)
Canthaxanthin,The phytoplankton pigment Canthaxanthin
Carbazole,Carbazole (C12H9N)
Carbon dioxide,Carbon dioxide
Carbon dioxide flux,Carbon dioxide (CO2) flux
Carbon dioxide storage flux,Carbon dioxide (CO2) storage flux
"Carbon Dioxide, dissolved",Dissolved Carbon dioxide (CO2)
"Carbon dioxide, transducer signal","Carbon dioxide (CO2), raw data from sensor"
Carbon disulfide,Carbon disulfide (CS2)
Carbon tetrachloride,Carbon tetrachloride (CCl4)
Carbon to nitrogen molar ratio,Carbon to nitrogen (C:N) molar ratio
"Carbon, dissolved inorganic",Dissolved Inorganic Carbon
"Carbon, dissolved organic",Dissolved Organic Carbon
"Carbon, dissolved total",Dissolved Total (Organic+Inorganic) Carbon
"Carbon, particulate organic",Particulate organic carbon in suspension
"Carbon, suspended inorganic",Suspended Inorganic Carbon
"Carbon, suspended organic","DEPRECATED -- The use of this term is discouraged in favor of the use of the synonymous term ""Carbon, particulate organic""."
"Carbon, suspended total",Suspended Total (Organic+Inorganic) Carbon
"Carbon, total",Total (Dissolved+Particulate) Carbon
"Carbon, total inorganic",Total (Dissolved+Particulate) Inorganic Carbon
"Carbon, total organic",Total (Dissolved+Particulate) Organic Carbon
"Carbon, total solid phase",Total solid phase carbon
"Carbon-13, stable isotope ratio delta",Difference in the 13C:12C ratio between the sample and standard (del C 13)
Carbon-14,A radioactive isotope of carbon which undergoes beta decay
Carbonate,Carbonate ion (CO3-2) concentration
"Cesium, dissolved",Dissolved Cesium (Cs)
"Cesium, total",Total Cesium (Cs)
Cesium-137,A radioactive isotope of cesium which is formed as a fission product by nuclear fission of uranium or plutonium.
Chloride,Chloride (Cl-)
"Chloride, dissolved",Dissolved Chloride (Cl-)
"Chloride, total",Total Chloride (Cl-)
Chlorine,Chlorine (Cl2)
"Chlorine, dissolved",Dissolved Chlorine (Cl2)
Chlorobenzene,Chlorobenzene (C6H5Cl)
Chloroethane,Chloroethane (C2H5Cl)
Chloroethene,Chloroethene (C2H3Cl)
Chloroform,"Chloroform (CHCl3), a haloform"
Chloromethane,Chloromethane (CH3Cl)
Chlorophyll (a+b+c),Chlorophyll (a+b+c)
Chlorophyll a,Chlorophyll a
Chlorophyll a allomer,The phytoplankton pigment Chlorophyll a allomer
"Chlorophyll a, corrected for pheophytin",Chlorphyll a corrected for pheophytin
"Chlorophyll a, uncorrected for pheophytin",Chlorophyll a uncorrected for pheophytin
Chlorophyll b,Chlorophyll b
Chlorophyll c,Chlorophyll c
Chlorophyll c1 and c2,Chlorophyll c1 and c2
Chlorophyll fluorescence,Chlorophyll Fluorescence
Chromium (III),Trivalent Chromium
Chromium (VI),Hexavalent Chromium
"Chromium (VI), dissolved",Dissolved Hexavalent Chromium
"Chromium, dissolved",Dissolved Chromium
"Chromium, distribution coefficient",Ratio of concentrations of chromium in two phases in equilibrium with each other. Phases must be specified.
"Chromium, particulate",Particulate chromium (Cr) in suspension
"Chromium, total",Total chromium (Cr). Total indicates was measured on a whole water (unfiltered) sample.
Chrysene,"Chrysene (C18H12), a polycyclic aromatic hydrocarbon (PAH)"
"cis-1,2-Dichloroethene","cis-1,2-Dichloroethene (C2H2Cl2)"
"cis-1,3-Dichloropropene","cis-1,3-Dichloropropene (C3H4Cl2)"
"Cobalt, dissolved",Dissolved Cobalt (Co)
"Cobalt, total",Total Cobalt (Co)
Cobalt-60,A synthetic radioactive isotope of cobalt with a half-life of 5.27 years.
COD,Chemical oxygen demand
"Coliform, fecal",Fecal Coliform
"Coliform, total",Total Coliform
Color,Color in quantified in color units
Colored dissolved organic matter,The concentration of colored dissolved organic matter (humic substances)
Container number,The identifying number for a water sampler container.
"Copper, dissolved",Dissolved Copper (Cu)
"Copper, distribution coefficient",Ratio of concentrations of copper in two phases in equilibrium with each other. Phases must be specified.
"Copper, particulate",Particulate copper (Cu) in suspension
"Copper, total","Total copper (Cu). ""Total"" indicates was measured on a whole water (unfiltered) sample."
Cryptophytes,The chlorophyll a concentration contributed by cryptophytes
Cuscuta spp. coverage,Areal coverage of the plant Cuscuta spp.
Cyanide,Cyanide (CN)
Cyclohexane,Cyclohexane (C6H6Cl6)
"Cytochrome P450, family 1, subfamily A, polypeptide 1, delta cycle threshold","Delta cycle threshold for Cytochrome P450, family 1, subfamily A, polypeptide 1 (cyp1a1). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for cyp1a1 is the difference between the cycle threshold (Ct) of cyp1a1 gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
Cytosolic protein,The total protein concentration within the cytosolic fraction of cells. The cytosol refers to the intracellular fluid or cytoplasmic matrix of a eukaryotic cell.
delta-13C of C2H6,Isotope 13C of ethane
delta-13C of C3H8,Isotope 13C of propane
delta-13C of C4H10,Isotope 13C of butane
delta-13C of CH4,Isotope 13C of methane
delta-13C of CO2,Isotope 13C of carbon dioxide
delta-13C of DIC,Isotope 13C of dissolved inorganic carbon (DIC)
delta-18O of H2O,Isotope 18O of water
delta-D of CH4,hydrogen isotopes of methane
delta-D of H2O,hydrogen isotopes of water
Density,Density
Deuterium,"Deuterium (2H), Delta D"
Diadinoxanthin,The phytoplankton pigment Diadinoxanthin
Diatoxanthin,The phytoplankton pigment Diatoxanthin
"Dibenz(a,h)anthracene","Dibenz(a,h)anthracene (C22H14), a polycyclic aromatic hydrocarbon (PAH)"
Dibenzofuran,Dibenzofuran (C12H8O)
Dibenzothiophene,"Dibenzothiophene (C12H8S), a polycyclic aromatic hydrocarbon (PAH)"
Dibromochloromethane,Dibromochloromethane (CHBr2Cl)
Dieldrin,Dieldrin (C12H8Cl6O)
Diethyl phthalate,Diethyl phthalate (C12H14O4)
Diethylene glycol,Diethylene glycol (C4H10O3)
Dimethyl Phthalate,Dimethyl Phthalate (C10H10O4)
Di-n-butylphthalate,Di-n-butylphthalate (C16H22O4)
Di-n-octyl phthalate,Di-n-octyl phthalate (C24H38O4)
Dinoflagellates,The chlorophyll a concentration contributed by Dinoflagellates
Dinoseb,Dinoseb (C10H12N2O5)
Discharge,Discharge
Distance,Distance measured from a sensor to a target object such as the surface of a water body or snow surface.
Distichlis spicata Coverage,Areal coverage of the plant Distichlis spicata
Disulfoton,Disulfoton (C8H19O2PS3)
"DNA damage, olive tail moment","In a single cell gel electrophoresis assay (comet assay), olive tail moment is the product of the percentage of DNA in the tail and the distance between the intesity centroids of the head and tail along the x-axis (Olive, et al., 1990)"
"DNA damage, percent tail DNA","In a single cell gel electrophoresis assay (comet assay), percent tail DNA is the ratio of fluorescent intensity of the tail over the total fluorescent intensity of the head (nuclear core) and tail multiplied by 100."
"DNA damage, tail length","In a single cell gel electrophoresis assay (comet assay), tail length is the distance of DNA migration from the body of the nuclear core"
E-coli,Escherichia coli
Electric Current,A flow of electric charge
Electric Energy,Electric Energy
Electric Power,Electric Power
Electrical conductivity,Electrical conductivity
Endosulfan I (alpha),Endosulfan I (alpha) (C9H6Cl6O3S)
Endosulfan II (beta),Endosulfan II (beta) (C9H6Cl6O3S)
Endosulfan Sulfate,Endosulfan Sulfate (C9H6Cl6O4S)
Endrin,Endrin (C12H8Cl6O)
Endrin aldehyde,Endrin aldehyde (C12H8Cl6O)
Endrin Ketone,Endrin Ketone (C12H9Cl5O)
Enterococci,Enterococcal bacteria
Ethane,Ethane
"Ethane, dissolved",Dissolved Ethane (C2H6)
Ethanol,Ethanol (C2H6O)
"Ethoxyresorufin O-deethylase, activity",Ethoxyresorufin O-deethylase (EROD) activity
Ethylbenzene,Ethylbenzene (C8H10)
Ethylene,Ethylene (C2H4)
Ethylene glycol,Ethlene Glycol (C2H4(OH)2)
"Ethylene, dissolved",Dissolved ethylene
Ethyne,Ethyne (C2H2)
Evaporation,Evaporation
Evapotranspiration,Evapotranspiration
"Evapotranspiration, potential",The amount of water that could be evaporated and transpired if there was sufficient water available.
Fish detections,The number of fish identified by the detection equipment
Flash memory error count,A counter which counts the number of  datalogger flash memory errors
Fluoranthene,"Fluoranthene (C16H10), a polycyclic aromatic hydrocarbon (PAH)"
Fluorene,"Fluorene (C13H10), a polycyclic aromatic hydrocarbon (PAH)"
Fluoride,Fluoride (F-)
"Fluoride, dissolved",Dissolved Fluoride (F-)
Fluorine,Fluorine (F2)
"Fluorine, dissolved",Dissolved Fluorine (F2)
Formic acid,Formic acid (CH2O2)
Friction velocity,Friction velocity
Gage height,Water level with regard to an arbitrary gage datum (also see Water depth for comparison)
Global Radiation,"Solar radiation, direct and diffuse, received from a solid angle of 2p steradians on a horizontal surface. Source: World Meteorological Organization, Meteoterm"
Glutaraldehyde,Glutaraldehyde (C5H8O2)
"Glutathione S-transferase, activity",Glutathione S-transferase (GST) activity
"Glutathione S-transferase, delta cycle threshold","Delta cycle threshold for glutathione S-transferase (gst). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for gst is the difference between the cycle threshold (Ct) of gst gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin)."
Gross alpha radionuclides,Gross Alpha Radionuclides
Gross beta radionuclides,Gross Beta Radionuclides
Ground heat flux,Ground heat flux
Groundwater Depth,Groundwater depth is the distance between the water surface and the ground surface at a specific location specified by the site location and offset.
"Hardness, Calcium",Hardness of calcium
"Hardness, carbonate",Carbonate hardness also known as temporary hardness
"Hardness, Magnesium",Hardness of magnesium
"Hardness, non-carbonate",Non-carbonate hardness
"Hardness, total",Total hardness
Heat index,The combination effect of heat and humidity on the temperature felt by people.
Helium,Helium
"Helium, dissolved",Dissolved Helium (He)
Heptachlor,Heptachlor (C10H5Cl7)
Heptachlor epoxide,Heptachlor epoxide (C10H5Cl7O)
Hexachlorobenzene,Hexachlorobenzene (C6Cl6)
Hexachlorobutadiene,Hexachlorobutadiene (C4Cl6)
Hexachlorocyclopentadiene,Hexachlorocyclopentadiene (C5Cl6)
Hexachloroethane,Hexachloroethane (C2Cl6)
Hexane,Hexane
Hydrogen,Hydrogen
Hydrogen sulfide,Hydrogen sulfide (H2S)
"Hydrogen, dissolved",Dissolved Hydrogen
"Hydrogen-2, stable isotope ratio delta",Difference in the 2H:1H ratio between the sample and standard
Imaginary dielectric constant,Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the dissipation (or loss) of energy within the medium. This is the imaginary portion of the complex dielectric constant.
"Indeno(1,2,3-cd)pyrene","Indeno(1,2,3-cd)pyrene (C22H12)"
"Iodide, dissolved",Dissolved Iodide (I-)
Iron sulfide,Iron sulfide (FeS2)
"Iron, dissolved",Dissolved Iron (Fe)
"Iron, ferric",Ferric Iron (Fe+3)
"Iron, ferrous",Ferrous Iron (Fe+2)
"Iron, particulate",Particulate iron (Fe) in suspension
"Iron, total",Total Iron (Fe)
Isobutane,Isobutane
Isobutyric acid,Isobutyric acid (C4H8O2)
Isopentane,Isopentane
Isophorone,Isophorone (C9H14O)
Iva frutescens coverage,Areal coverage of the plant Iva frutescens
Lactic Acid,Lactic Acid (C3H6O3)
Latent heat flux,Latent Heat Flux
Latitude,Latitude as a variable measurement or observation (Spatial reference to be designated in methods).  This is distinct from the latitude of a site which is a site attribute.
"Lead, dissolved","Dissolved Lead (Pb). For chemical terms, dissolved indicates a filtered sample"
"Lead, distribution coefficient",Ratio of concentrations of lead in two phases in equilibrium with each other. Phases must be specified.
"Lead, particulate",Particulate lead (Pb) in suspension
"Lead, total","Total Lead (Pb). For chemical terms, total indicates an unfiltered sample."
Leaf wetness,The effect of moisture settling on the surface of a leaf as a result of either condensation or rainfall.
Light attenuation coefficient,Light attenuation coefficient
Limonium nashii Coverage,Areal coverage of the plant Limonium nashii
"Lithium, dissolved","Dissolved Lithium (Li). For chemical terms, dissolved indicates a filtered sample."
"Lithium, total","Total Lithium (Li). For chemical terms, total indicates an unfiltered sample."
"Liver, mass",Mass of the sample of liver tissue used for analyses
Longitude,Longitude as a variable measurement or observation (Spatial reference to be designated in methods). This is distinct from the longitude of a site which is a site attribute.
Low battery count,A counter of the number of times the battery voltage dropped below a minimum threshold
LSI,Langelier Saturation Index is an indicator of the degree of saturation of water with respect to calcium carbonate
Lycium carolinianum Coverage,Areal coverage of the plant Lycium carolinianum
"Magnesium, dissolved",Dissolved Magnesium (Mg)
"Magnesium, total",Total Magnesium (Mg)
Malathion,"Butanedioic acid, [(dimethoxyphosphinothioyl)thio]-, diethyl ester (C10H19O6PS2)"
"Manganese, dissolved",Dissolved Manganese (Mn)
"Manganese, particulate",Particulate manganese (Mn) in suspension
"Manganese, total","Total manganese (Mn). ""Total"" indicates was measured on a whole water (unfiltered) sample."
"Mercury, dissolved","Dissolved Mercury (Hg). For chemical terms, dissolved indicates a filtered sample."
"Mercury, total","Total Mercury (Hg). For chemical terms, total represents an unfiltered sample."
Methane,Methane (CH4)
"Methane, dissolved",Dissolved Methane (CH4)
Methanol,Methanol (CH3OH)
Methoxychlor,Methoxychlor (C16H15Cl3O2)
Methyl tert-butyl ether (MTBE),Methyl tert-butyl ether (MTBE) (C5H12O)
Methylene blue active substances,Methylene Blue Active Substances (MBAS)
Methylene chloride (Dichloromethane),Methylene chloride (Dichloromethane) (CH2Cl2)
Methylmercury,Methylmercury (CH3Hg)
Mevinphos,Mevinphos (C7H13O6P)
Microsomal protein,The total protein concentration within the microsomal fraction of cells. Microsomes refer to vesicle-like artifacts reformed from pieces of endoplasmic reticulum when eukaryotic cells are broken up in a laboratory.
"Molbydenum, dissolved","Dissolved Molbydenum (Mo). For chemical terms, dissolved indicates a filtered sample."
"Molybdenum, total","total Molybdenum (Mo). For chemical terms, total represents an unfiltered sample."
Momentum flux,Momentum flux
Monanthochloe littoralis Coverage,Areal coverage of the plant Monanthochloe littoralis
"N, albuminoid",Albuminoid Nitrogen
"n-alkane, C15","C15 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentadecane, formula : C15H32"
"n-alkane, C16","C16 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexadecane, formula: C16H34. Synonym: cetane"
"n-alkane, C17","C17 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptadecane, formula : C17H36"
"n-alkane, C18","C18 alkane, normal (i.e. straight-chain) isomer, common name: n-Octadecane, formula : C18H38"
"n-alkane, C19","C19 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonadecane, formula : C19H40"
"n-alkane, C20","C20 alkane, normal (i.e. straight-chain) isomer, common name: n-Icosane, formula : C20H42. Synonyms: didecyl, eicosane."
"n-alkane, C21","C21 alkane, normal (i.e. straight-chain) isomer, common name: n-Henicosane, formula : C21H44."
"n-alkane, C22","C22 alkane, normal (i.e. straight-chain) isomer, common name: n-Docosane, formula : C22H46"
"n-alkane, C23","C23 alkane, normal (i.e. straight-chain) isomer, common name: n-Tricosane, formula : C23H48"
"n-alkane, C24","C24 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetracosane, formula : C24H50"
